task_id,cohort,model,n_holes,mean_fold_balanced_accuracy,min_fold_balanced_accuracy,max_fold_balanced_accuracy,fold_range_balanced_accuracy,mean_fold_macro_f1,min_fold_macro_f1,max_fold_macro_f1,n_samples,pooled_balanced_accuracy,pooled_macro_f1,pooled_accuracy,multiclass_log_loss,sensitivity,specificity,roc_auc,pr_auc,brier_score
T1,primary,dummy_prior,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.10725117176730076,0.0854700854700854,0.1290322580645161,59,0.1782407407407407,0.1435897435897436,0.1864406779661017,1.334616095138116,,,,,
T1,primary,logistic_balanced,2,0.5737373737373737,0.4972222222222222,0.6502525252525252,0.15303030303030302,0.5518518518518518,0.4833333333333333,0.6203703703703703,59,0.6643518518518519,0.6480263157894737,0.6440677966101694,0.9034569355213594,,,,,
T1,primary,random_forest_balanced,2,0.5102994227994228,0.4587301587301587,0.5618686868686869,0.10313852813852814,0.49547101449275366,0.4290733421168204,0.5618686868686869,59,0.5439814814814815,0.5277023629964807,0.5254237288135594,0.9625174486222562,,,,,
T1,strict,dummy_prior,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.111700559976422,0.0854700854700854,0.1379310344827586,57,0.1931216931216931,0.1494444444444444,0.1929824561403508,1.2820505817924166,,,,,
T1,strict,logistic_balanced,2,0.5703703703703703,0.4972222222222222,0.6435185185185185,0.1462962962962963,0.5462962962962963,0.4833333333333333,0.6092592592592593,57,0.6494708994708995,0.6331453634085213,0.631578947368421,0.9290361501279806,,,,,
T1,strict,random_forest_balanced,2,0.521031746031746,0.5003968253968254,0.5416666666666666,0.041269841269841234,0.5,0.4583333333333333,0.5416666666666666,57,0.546957671957672,0.5262626262626262,0.5263157894736842,0.9518346063786696,,,,,
T2,primary,dummy_prior,2,0.5,0.5,0.5,0.0,0.36230769230769233,0.34,0.3846153846153846,49,0.5,0.3552631578947368,0.5510204081632653,,1.0,0.0,0.4511784511784512,0.5284362903410522,0.2568100415097168
T2,primary,logistic_balanced,2,0.6887254901960784,0.5833333333333334,0.7941176470588236,0.21078431372549022,0.6617419617419618,0.5428571428571429,0.7806267806267806,49,0.7567340067340067,0.754180602006689,0.7551020408163265,,0.7407407407407407,0.7727272727272727,0.7878787878787878,0.8724062585753909,0.2000715909731095
T2,primary,random_forest_balanced,2,0.8137254901960784,0.7941176470588236,0.8333333333333333,0.039215686274509665,0.8175861175861175,0.7806267806267806,0.8545454545454545,49,0.8249158249158248,0.8163265306122449,0.8163265306122449,,0.7407407407407407,0.9090909090909092,0.8055555555555555,0.8955682198627171,0.1680041696503468
T2,strict,dummy_prior,2,0.5,0.5,0.5,0.0,0.3873913043478261,0.34,0.4347826086956521,46,0.5,0.3698630136986301,0.5869565217391305,,1.0,0.0,0.3937621832358675,0.5417459620358172,0.2939066271386126
T2,strict,logistic_balanced,2,0.7303921568627452,0.6666666666666666,0.7941176470588236,0.12745098039215697,0.7425861175861176,0.7045454545454546,0.7806267806267806,46,0.8177387914230019,0.8035121025154248,0.8043478260869565,,0.7407407407407407,0.8947368421052632,0.8284600389863548,0.9135728585107818,0.1658718336483725
T2,strict,random_forest_balanced,2,0.8970588235294118,0.7941176470588236,1.0,0.2058823529411764,0.8903133903133903,0.7806267806267806,1.0,46,0.8703703703703703,0.8477541371158392,0.8478260869565217,,0.7407407407407407,1.0,0.8070175438596491,0.9033895201896728,0.1365586592996909
